Subject,Task,LH_salvent_A,LH_salvent_B,LH_cont_A,LH_cont_B,LH_cont_C,LH_default_A,LH_default_B,LH_default_C,RH_salvent_A,RH_salvent_B,RH_cont_A,RH_cont_B,RH_cont_C,RH_default_A,RH_default_B,RH_default_C
LR_102109_25_L,2bk_places,9.830976846172911,-3.9542135675539045,10.309102374521682,11.987129815981014,-2.2727428029679784,-5.451489569675674,9.144457504383421,-13.820803944207757,-1.8478811410733806,11.396599074159933,0.9495956269686787,3.876582674559006,51.172992723102276,-7.935238894331957,10.867833054108326,10.225369627648124
LR_102109_25_L,2bk_tools,-9.886850388259205,1.7542542028144938,6.368926863148233,5.124163009962351,5.099082448463268,-8.103524657917433,10.41543892615073,0.30911515193710243,8.678372595313316,5.170362945897983,7.807776791107605,15.245250462535012,-38.64071359261237,10.341922515231845,25.469448906204665,10.224747540014079
LR_304020_25_L,0bk_body,4.027629281089991,0.9144295744819897,5.906716591589094,4.102303300063112,6.87342049810064,1.570875410065068,-0.8996875878311688,-6.344804310096747,7.732031008959918,4.549805117969084,5.533201896109272,9.641516142899194,-23.248719729434644,6.915032670490528,7.680164719795154,2.493106095918043
LR_304020_25_L,0bk_faces,-0.5297065462432199,-4.537875747975461,-4.608068450093877,1.214135438854463,1.5402233377651964,-2.8497000358165523,-0.34886538764347963,1.1989581693619111,0.536444018804716,6.069060809285002,2.7805661582600356,3.461464323532055,-2.2790475361805624,3.299899635763814,3.240840390966942,2.1262124218152922
LR_304020_25_L,0bk_places,10.214375320887124,3.854806549274155,6.655534909586284,-2.294028003374636,10.520490467194834,-3.526276624959582,4.428723133737984,-1.6543406821144866,4.2163412539967275,4.854682506075157,1.3318228452205345,3.885416046518629,-43.67793432126978,11.682086902875565,23.27114020237556,5.458367829778831
LR_304020_25_L,0bk_tools,3.596030623336705,-2.6840604815355142,12.844633341165032,3.8470690416726905,-3.7037411251385866,5.719182544996345,1.67629933597443,-10.835487956107142,3.9696189530731196,11.838288245331565,2.265504261991037,4.235258516685448,0.2695651899751004,7.659904740274401,5.068091791981942,0.38188776658420487
LR_304020_25_L,2bk_body,3.092196812901502,5.323005378659196,19.54923397165367,-0.10281192018424684,11.204011274629972,-7.245158180107016,5.047968538007975,-0.8231035998293907,1.463976668874384,7.536809869849506,6.808976215324756,9.860208838647594,-45.38778850319833,12.260859393911549,15.28156920582299,7.3254136107458425
LR_304020_25_L,2bk_faces,4.536087088318542,-6.307367452429174,-0.7842405263374652,9.863759342914783,4.874346043180674,-6.663457121818575,0.4065737779274999,-12.44610540687641,3.4979423697294942,7.601580790900865,1.919897994977973,8.47582356104468,-40.45592678120965,10.01913666814037,11.614563098830342,6.67211982230071
LR_304020_25_L,2bk_places,11.612493245880922,1.7029982287046428,-15.833189617665528,2.527456096847598,5.67581703724241,6.498534764844912,0.8264316396137035,0.006613108914625521,17.937853593995875,-0.050519959305007966,8.814161793139135,2.470044798546891,-30.52493756335723,13.706857054223637,10.76179996913927,-8.244154108685425
LR_304020_25_L,2bk_tools,0.6249056725407321,0.2530407982991558,13.342755706772486,-1.5157957748439208,5.543696341799317,1.9401288050792136,7.376315533509732,5.842721113236358,6.71824101757326,-4.043048904554047,3.0937041085812838,16.298959259351413,-38.456998040213364,9.160881961273592,5.1023068628903125,8.688273387808255
LR_955465_25_L,0bk_body,-2.7120529338353103,-1.5806755650723,8.80753222858586,4.811483842154037,11.821766460521866,-0.09206164865204305,4.015694189510702,-3.786626107091534,-4.934126179254687,-0.5738462461018562,5.121952944549012,11.93864436818358,-1.4660303005954296,6.386441166201138,-1.963382673027443,-4.484697810898465
LR_955465_25_L,0bk_faces,2.133619791762247,-0.8820623249036421,1.804361017348353,1.452641642775022,-1.3196810044523752,2.481619314907906,2.2931912137903603,1.6269965900139702,2.8184422167944465,2.6545898367345124,3.4680443580324414,2.2189386234914985,3.031154067635735,0.3541484072549992,-0.513832199711376,0.5473457519055427
